title,rating,num_votes,year
Jurassic World,7.0,526708,2015
Remember the Titans,7.8,181563,2000
Hotel Artemis,6.1,24204,2018
The Other Boleyn Girl,6.7,94958,2008
Once Upon a Time in America,8.4,270149,1984
"Crazy, Stupid, Love.",7.4,430340,2011
What They Had,6.4,785,2018
Beetlejuice,7.5,226225,1988
Destination Wedding,6.0,11777,2018
Big Fish,8.0,385126,2003
American Psycho,7.6,420809,2000
12 Years a Slave,8.1,562919,2013
Psycho,8.5,522702,1960
The Amazing Spider-Man,7.0,515445,2012
Star Wars: Episode I - The Phantom Menace,6.5,639996,1999
Downsizing,5.7,70169,2017
Stardust,7.7,236286,2007
8 Mile,7.1,223979,2002
Galveston,6.1,5204,2018
Hellboy,6.9,280391,2004
The Oath,5.2,1432,2018
Mamma Mia!,6.4,186803,2008
Escape Plan 2: Hades,3.8,17520,2018
Charlie and the Chocolate Factory,6.7,381033,2005
Memento,8.5,1010563,2000
Constantine,7.0,271898,2005
The Room,3.7,69224,2003
Bring It On,6.0,79735,2000
World War Z,7.0,542519,2013
Old School,7.1,201483,2003
Happy Death Day,6.5,72794,2017
Cool Hand Luke,8.1,145206,1967
The Curious Case of Benjamin Button,7.8,529282,2008
It Takes Two,5.8,17819,1995
Kill Bill: Vol. 1,8.1,883956,2003
Pirates of the Caribbean: The Curse of the Black Pearl,8.0,948106,2003
Gravity,7.7,692430,2013
The Day After Tomorrow,6.4,378357,2004
Superbad,7.6,474867,2007
Sully,7.5,194093,2016
Reservoir Dogs,8.3,802912,1992
A Wrinkle in Time,4.2,31922,2018
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,333388,2005
Sherlock Holmes,7.6,540626,2009
Sucker Punch,6.1,215898,2011
Ratatouille,8.0,562966,2007
Into the Woods,6.0,121528,2014
Grown Ups 2,5.4,125919,2013
Home Alone,7.5,399856,1990
Indiana Jones and the Kingdom of the Crystal Skull,6.2,384790,2008
Gods of Egypt,5.4,92112,2016
Catch Me If You Can,8.1,695496,2002
Slender Man,3.2,15775,2018
Jupiter Ascending,5.3,163612,2015
Fifty Shades Darker,4.6,78249,2017
Lion,8.1,172977,2016
Hotel Mumbai,7.1,219,2018
The Hitman's Bodyguard,6.9,153976,2017
The Devil Wears Prada,6.9,332313,2006
All the Money in the World,6.8,56056,2017
Horrible Bosses,6.9,393439,2011
Jonathan,5.8,2450,2018
American Made,7.2,123464,2017
Planet of the Apes,5.7,199333,2001
The Town,7.6,317447,2010
"Don't Worry, He Won't Get Far on Foot",6.9,10634,2018
Boogie Nights,7.9,216537,1997
Pitch Perfect,7.2,250784,2012
Dirty Dancing,6.9,170022,1987
Wanted,6.7,335177,2008
